game_id,team1_id,team2_id,map,winner_id,w_score,l_score
10001,101,102,Ascent,102,13,5
10002,101,102,Pearl,102,13,5
10003,103,104,Pearl,103,13,8
10004,103,104,Haven,104,13,4
10005,103,104,Lotus,103,13,7
10006,105,106,Pearl,105,13,5
10007,105,106,Lotus,105,13,11
10008,107,108,Ascent,107,13,5
10009,107,108,Icebox,108,13,8
10010,107,108,Fracture,107,13,3
10011,109,110,Fracture,110,13,9
10012,109,110,Lotus,110,13,6
10013,101,109,Haven,109,13,10
10014,101,109,Ascent,101,13,10
10015,101,109,Lotus,101,13,5
10016,108,103,Ascent,103,13,8
10017,108,103,Haven,103,13,6
10018,107,105,Haven,105,13,11
10019,107,105,Fracture,107,13,11
10020,107,105,Split,107,13,10
10021,110,106,Lotus,110,13,8
10022,110,106,Fracture,106,13,4
10023,110,106,Pearl,110,13,8
10024,104,102,Haven,102,13,11
10025,104,102,Split,102,17,15
10026,109,106,Haven,109,13,4
10027,109,106,Pearl,109,13,7
10028,103,105,Pearl,105,13,3
10029,103,105,Fracture,105,13,6
10030,101,104,Pearl,104,13,9
10031,101,104,Ascent,101,14,12
10032,101,104,Haven,101,13,8
10033,108,102,Split,102,13,3
10034,108,102,Pearl,102,13,10
10035,107,110,Haven,110,13,8
10036,107,110,Fracture,110,13,11
10037,105,102,Ascent,102,13,5
10038,105,102,Split,102,13,10
10039,107,109,Icebox,109,13,10
10040,107,109,Split,109,13,7
10041,103,110,Ascent,110,13,5
10042,103,110,Haven,110,13,5
10043,101,106,Ascent,101,13,9
10044,101,106,Haven,101,13,5
10045,108,104,Split,104,13,6
10046,108,104,Icebox,104,13,11
10047,105,104,Icebox,104,13,7
10048,105,104,Split,105,13,6
10049,105,104,Pearl,105,13,7
10050,110,102,Haven,102,13,7
10051,110,102,Fracture,110,13,10
10052,110,102,Pearl,102,13,4
10053,103,109,Haven,103,13,9
10054,103,109,Fracture,103,13,4
10055,107,106,Ascent,107,13,11
10056,107,106,Haven,107,13,8
10057,101,108,Haven,108,13,8
10058,101,108,Ascent,108,16,14
10059,103,106,Lotus,103,13,9
10060,103,106,Split,106,13,9
10061,103,106,Fracture,103,13,10
10062,101,107,Split,101,13,9
10063,101,107,Lotus,107,13,10
10064,101,107,Fracture,101,13,9
10065,104,110,Pearl,104,13,8
10066,104,110,Lotus,104,13,8
10067,109,102,Haven,109,13,8
10068,109,102,Split,102,13,10
10069,109,102,Pearl,102,13,2
10070,108,105,Pearl,108,13,11
10071,108,105,Split,105,13,4
10072,108,105,Fracture,105,13,10
10073,108,110,Fracture,108,13,8
10074,108,110,Lotus,108,13,7
10075,101,105,Split,105,13,6
10076,101,105,Ascent,105,13,10
10077,109,104,Fracture,109,13,10
10078,109,104,Pearl,109,13,11
10079,107,103,Lotus,103,13,4
10080,107,103,Bind,103,13,8
10081,102,106,Fracture,102,13,8
10082,102,106,Ascent,102,13,4
10083,105,110,Split,105,13,7
10084,105,110,Ascent,105,13,2
10085,101,103,Fracture,103,13,11
10086,101,103,Lotus,101,13,10
10087,101,103,Bind,103,13,3
10088,107,102,Haven,107,13,8
10089,107,102,Ascent,107,13,11
10090,104,106,Lotus,104,13,7
10091,104,106,Pearl,104,13,6
10092,108,109,Split,108,13,3
10093,108,109,Ascent,109,13,4
10094,108,109,Haven,109,13,7
10095,101,110,Haven,101,13,8
10096,101,110,Ascent,110,13,4
10097,101,110,Fracture,101,13,4
10098,103,102,Bind,102,13,10
